알약 이름,복용 적절 시간,복용 ㄴ방법,성분,효능
비나폴로엑스트라연질캡슐(비타민A),상시,1일 1회 2정,"레티놀팔미테이트로서1,375mg",안구건조증완화
에스파이트골드정(비타민B12),상시,1일 2회 1정,시아노코발라민500mg,신경통 완화
프리미엄 리포좀 비타민C,상시,1일 1회 1정,아스코브르산 500mg,면역력 강화
오늘도 비타민D 프리미엄,상시,1일 1회 1정,콜레칼시페롤 200mg,뼈 건강
골드칼슘마그네슘,상시,1일 2회 2정,"칼슘 650mg,",뼈 건강
프로바이오틱스 아연,상시,1일 1회 1정,산화 아연 400mg,세포기능 면역기능 강화
리포퍼 철분 비타민C,상시,1일 1회 1포,철 14mg,혈액 건강
유한m초임계알티지오메가3,상시,1일 1회 1정,EPA와 DHA 600mg,혈액기능개선
올바른 와이케어 프로바이오틱스VL8 아연 셀레늄,상시,1일 1회 1캡슐,Lactiplantibacillus plantarum 1억CFU 300mg,장 건강 도움
실리마린 밀크씨슬 비타민B군 컴플렉스,상시,1일 1회 1정,비타민B6 500mg,단백질 합성 기능 향상
아젠다 지더블유엘 멀티비타민,상시,1일 1회 1포,비타민B2 1554mg,체내 에너지 생성 도움
관절 연골엔 MSM 비타민D 플러스,상시,1일 1회 2정,MSM 1500mg,관절 및 연골 건강에 도움
비타민 K,상시,1일 1회 1캡슐,비타민K 340mg,혈액 응고 기능 향상
뽀롱뽀롱뽀로로 비타민C,상시,1일 5회 2정,비타민C 360mg,향산화 작용
생유산균 비타민D 아연,상시,1일 1회 1포,비타민D 2000mg,뼈의 형성 및 유지 도움
도매당 비타민B 100 컴플렉스,상시,1일 1회 1정,엽산 1200mg,정상적인 엽산 대사 유지
내눈엔 루테인+ 내몸엔 멀티비타민 미네랄+,상시,1일 1회 1캡슐,루테인 20mg,눈 건강에 도움
활력충전 멀티비타민 포 우먼,상시,1일 1회 1정,비타민C 200mg,결합조직 형성과 기능유지에 필요
굿키즈 면역 아연 멀티비타민,상시,1일 1회 1포,니아이신 7mg,체내 에너지 생성에 필요
더 스포츠 에센셜 MSM 비타민 D C,상시,1일 1회 3정,MSM 2000mg,관절 및 연골건강에 도움을 줄 수 있음
유한m칼슘마그네슘비타민D아연,상시,1일 1회 1정,칼슘 300mg,뼈와 치아 형성에 필요
쿨멜팅 리포좀 비타민C,상시,1일 1회 1포,비타민C 500mg,결합조직 형성과 기능유지에 필요
스마일 이뮨 비타민,상시,1일 1회 1병,베타카로틴 1.26mg,어두운 곳에서 시각 적응을 위해 필요
활력충전 멀티비타민 포 맨,상시,1일 1회 1정,크롬 35μg,"체내 탄수화물, 지방, 단백질 대사에 관여"
본케어 비타민DK 2 플러스,상시,1일 1회 1정,비타민K 21μg,"정상적인 혈액응고에 필요, 뼈의 구성에 필요"
바이탈C 스틱,상시,1일 1회 1포,비타민C 500mg,결합조직 형성과 기능유지에 필요
맛있는 철분&비타민,상시,1일 1회 1포,철 15mg,체내 산소운반과 혈액생성에 필요
활력 비타민B 컴플렉스,상시,1일 1회 1정,판토텐산 100mg,"지방, 탄수화물, 단백질 대사와 에너지 생성에 필요"
비타민D 드롭스 400IU,상시,1일 1회 2드롭(한 드롭당 0.0285 ml),비타민D 10μg,골다공증발생 위험 감소에 도움을 줌
칼슘마그네슘비타민D아연망간,상시,1일 1회 2정,칼슘 300mg,뼈와 치아 형성에 필요